"Country","Region","Year","GDP","Score"
Latvia,Central and Eastern Europe,2015,20.36624595273921,2.0425692417203662
Georgia,Central and Eastern Europe,2021,21.558682110782055,6.491810330589522
Saudi Arabia,null region,2020,44.63731890308778,5.4090037147547605
Philippines,null region,2021,21.475506503566233,5.693816435427314
Mauritius,Sub-Saharan Africa,2016,51.34136966404698,8.28456398198976
Japan,Eastern Asia,2015,37.41210528277202,8.792442752834686
Mali,Sub-Saharan Africa,2015,2.8889830512515573,3.114565456495072
Zambia,Sub-Saharan Africa,2018,2.4751292880487736,6.618964965286761
Bosnia and Herzegovina,Central and Eastern Europe,2021,29.53174312641702,8.020573872371212
Libya,null region,2016,65.60864031706834,5.028626169794344
Burkina Faso,Sub-Saharan Africa,2019,1.4701067211936916,4.3111221616662325
Switzerland,Western Europe,2016,52.68122410301212,7.5920941984543555
Ireland,Western Europe,2019,49.06326404592918,10.671846682745018
Algeria,null region,2020,25.099000796539837,2.9612522091858566
Tunisia,Middle East and Northern Africa,2020,27.717930991936026,5.624460515768301
Colombia,Latin America and Caribbean,2018,9.234400938945786,7.723212247492213
Ireland,Western Europe,2019,48.0574402605513,7.050351078239584
Myanmar,Southeastern Asia,2020,15.899997853738451,5.347276690565051
Netherlands,Western Europe,2018,25.533360578441837,7.762370283265303
Ghana,Sub-Saharan Africa,2019,41.184177096020726,4.583698766471594
Kuwait,Middle East and Northern Africa,2021,0.4383374297923533,3.161491966132549
Laos,Southeastern Asia,2018,21.018323704884416,5.66644397872202
Palestinian Territories,null region,2019,26.779643576855076,1.9313963234026155
Gabon,Sub-Saharan Africa,2021,31.484409581363217,5.143919880980703
Mongolia,Eastern Asia,2017,36.23546435608048,2.0164583232184565
Dominican Republic,null region,2016,17.184026862720124,6.55886095978539
Taiwan Province of China,-,2020,38.26055142975466,1.5888235277052625
Malawi,Sub-Saharan Africa,2016,3.684056119899183,5.0701817269089915
Netherlands,Western Europe,2020,0.9823009158123048,8.424272782512462
Cyprus,Western Europe,2021,19.872259639222,0.8540608975154531
Australia,Australia and New Zealand,2020,28.74769804985316,1.733446003534482
Uzbekistan,Central and Eastern Europe,2017,26.819186193684352,2.7911350495946334
Sierra Leone,Sub-Saharan Africa,2015,5.881468042485072,0.7830549422094443
Pakistan,Southern Asia,2020,6.25740056950344,6.009606415562335
Slovenia,Central and Eastern Europe,2017,52.024768945330024,0.05442278159560368
Greece,null region,2019,29.517814521538057,7.229440299320689
New Zealand,Australia and New Zealand,2016,29.90974516483794,4.054328927350379
Cyprus,Western Europe,2016,9.65664061511131,0.20230773133186417
Iran,Middle East and Northern Africa,2015,34.96865853589914,2.916760303774848
Burundi,Sub-Saharan Africa,2016,2.962147330937593,2.3727773549267837
Benin,Sub-Saharan Africa,2019,1.0389618316407045,7.340543544716445
Zambia,Sub-Saharan Africa,2019,14.303756694348417,4.003258492513892
Spain,null region,2019,18.276711183117616,3.464406657256723
Indonesia,Southeastern Asia,2017,4.49496455125018,0.6821473847205101
Nicaragua,Latin America and Caribbean,2020,0.3826415482543217,6.071307762820536
Nicaragua,Latin America and Caribbean,2021,20.206565520852628,10.773664198990284
Mali,Sub-Saharan Africa,2015,7.760557295020139,4.507353915320657
Yemen,Middle East and Northern Africa,2018,17.2406644258397,4.662235341073922
Canada,null region,2020,13.78162388071427,8.58988051339406
Yemen,Middle East and Northern Africa,2016,0.020702751440477646,6.090913199101266
Honduras,null region,2015,23.38378825193,2.037305514484753
South Korea,Eastern Asia,2020,28.914168369010653,0.4824434802712796
Angola,Sub-Saharan Africa,2015,14.778774128789307,2.0385154402972105
Czech Republic,Central and Eastern Europe,2015,33.56842405862946,4.1104878068875355
Botswana,null region,2020,9.962807159699327,6.708857557060447
Chad,Sub-Saharan Africa,2017,21.824401260079167,1.19235281672008
Hong Kong,null region,2016,26.6369463006175,9.958277273962473
Kuwait,Middle East and Northern Africa,2016,23.63201161463086,6.375489863430362
Algeria,null region,2019,27.71834271227318,2.4816617567928447
Thailand,Southeastern Asia,2016,15.04256599865585,10.143518178487378
Zambia,Sub-Saharan Africa,2015,15.022163668004714,6.132841662720895
Bangladesh,null region,2017,5.619438269739744,8.395490600679022
Hong Kong,null region,2018,42.93703810835519,7.4214763337347565
Germany,Western Europe,2018,9.240655524513068,11.13282608465627
North Cyprus,null region,2017,68.94390207803879,15.193523172828614
Spain,null region,2017,51.183830648238015,0.8137896042819022
Cyprus,Western Europe,2020,0.46991715794139377,6.0766761719391225
Chad,Sub-Saharan Africa,2021,4.6675961439630935,0.9107200074084496
Sri Lanka,Southern Asia,2016,51.62880396775662,6.78691531273068
Togo,Sub-Saharan Africa,2019,1.3342750682913802,4.735081226122074
Malta,null region,2021,40.43229004529381,6.404745976138277
Gabon,Sub-Saharan Africa,2020,4.107828777701915,2.30374959600867
Niger,Sub-Saharan Africa,2016,4.519698859715388,1.0350766979851869
Niger,Sub-Saharan Africa,2019,2.196997653606526,6.418110830407401
Ivory Coast,Sub-Saharan Africa,2015,3.5545931595117857,9.088500949565619
Dominican Republic,null region,2015,29.45793659189108,0.45870693622188635
Togo,Sub-Saharan Africa,2015,4.556027789182679,4.763195143306182
Cambodia,Southeastern Asia,2020,4.372177585319099,4.7604344091456925
Malaysia,Southeastern Asia,2018,3.6821357421117145,12.086895158164026
Madagascar,Sub-Saharan Africa,2019,1.6515697217106715,5.830739244033587
Macedonia,Central and Eastern Europe,2017,44.655311790414274,1.1064729902900439
Mozambique,null region,2015,2.0092223474180044,4.243685335443637
Jamaica,Latin America and Caribbean,2018,30.14098129884258,1.4891885987281173
Saudi Arabia,null region,2017,16.217533140267346,4.944178587412536
Paraguay,Latin America and Caribbean,2018,10.202959965174028,5.581584139155007
Spain,null region,2016,68.39221581038792,3.9367084183151366
Malaysia,Southeastern Asia,2020,44.07372409614708,3.890081486678801
Mali,Sub-Saharan Africa,2019,13.652136976151155,5.279959121643181
Czech Republic,Central and Eastern Europe,2018,24.815959784936844,2.4850415805738164
Uzbekistan,Central and Eastern Europe,2016,18.929208072520378,0.7335165009126079
Iceland,Western Europe,2021,27.72896947739591,3.5854845634659713
Madagascar,Sub-Saharan Africa,2021,8.85134064749486,2.0275677855173924
Kosovo,Central and Eastern Europe,2015,8.354223343259676,9.502193411601864
Armenia,Central and Eastern Europe,2015,4.745224096547246,1.52323090868656
Georgia,Central and Eastern Europe,2015,7.349849010218573,0.21784010194146258
Kosovo,Central and Eastern Europe,2018,35.008477228795954,2.8675754275281187
Lithuania,null region,2018,26.416681703488965,14.03471588956645
India,null region,2020,8.267886363448353,2.119978809266766
Finland,null region,2018,11.696228718840038,2.212983667778323
Albania,Central and Eastern Europe,2021,10.345129893293091,2.0273498892522097
Switzerland,Western Europe,2020,40.29118397250314,7.4622695395812935
Nicaragua,Latin America and Caribbean,2019,6.60172005725419,6.797825949439865
North Cyprus,null region,2015,42.26451288141065,1.2094789895982934
Zimbabwe,Sub-Saharan Africa,2016,13.068109223530264,5.368384455785741
Gambia,-,2019,2.6560641538101666,8.017017278600163
Greece,null region,2019,26.796328079538434,7.553411242101864
Bahrain,Middle East and Northern Africa,2017,22.54648431829092,8.521935104832638
Malawi,Sub-Saharan Africa,2020,14.873866361127066,0.631773032987182
Syria,Middle East and Northern Africa,2018,25.110655006587958,4.071637900287434
Madagascar,Sub-Saharan Africa,2016,10.917301167379774,4.135889986722591
Slovakia,null region,2016,24.99987787887267,3.5827330345878643
Ethiopia,null region,2019,3.539472156289267,5.313040706612079
Hungary,Central and Eastern Europe,2019,66.74927482315127,10.20481500907485
Hong Kong,null region,2019,11.524043261800434,7.733616220753406
Belgium,Western Europe,2018,106.93801145958618,2.4773350415920588
Mauritania,Sub-Saharan Africa,2020,0.7031793876706764,2.2491117541124406
Belarus,null region,2015,13.031459830872578,5.117216473556099
Netherlands,Western Europe,2017,51.01529171300711,12.110295221471732
Malta,null region,2018,57.30272141854627,7.475287140215269
Guinea,null region,2021,15.64058034520827,4.576929158817849
Spain,null region,2019,50.11027907916497,9.831860464202888
Moldova,Central and Eastern Europe,2018,2.616710306155239,5.869736065222602
Turkmenistan,Central and Eastern Europe,2018,5.496095519970717,6.649272726027448
Armenia,Central and Eastern Europe,2017,34.943252487016515,7.121331194610405
China,Eastern Asia,2017,23.61014061138173,3.5169056163229495
Honduras,null region,2015,35.88338386933685,1.6482663611523583
Kenya,null region,2017,16.616148893586242,14.69609478557813
Hong Kong,null region,2016,24.45696011084792,5.428180674644738
Algeria,null region,2020,10.118279032478126,2.4733981240782192
Malawi,Sub-Saharan Africa,2015,0.1172391090449646,2.704185398843863
Liberia,null region,2019,2.3019881504020026,2.0982855152752635
Singapore,Southeastern Asia,2017,69.99128662258691,9.443684161094625
Montenegro,Central and Eastern Europe,2015,2.4102282165537776,2.3881371729257665
Tajikistan,null region,2018,13.714613839370685,10.69914782719476
Syria,Middle East and Northern Africa,2016,37.12501689080698,3.6664169979279086
Mozambique,null region,2020,7.297382931174357,6.815583809488594
United States,North America,2019,21.49829957967971,7.3317864995017255
New Zealand,Australia and New Zealand,2019,36.1260290408558,7.167877885268452
Kazakhstan,Central and Eastern Europe,2020,19.903254247952603,8.382534764610794
Cyprus,Western Europe,2021,95.43395351049335,3.9636988205957677
Kyrgyzstan,Central and Eastern Europe,2017,30.381367031086114,4.51341700769505
Madagascar,Sub-Saharan Africa,2017,7.573210433242997,6.004539084978589
Dominican Republic,null region,2017,65.4656345675018,1.952420960796228
Denmark,Western Europe,2017,16.376661289911624,4.954633873842571
Swaziland,Sub-Saharan Africa,2015,15.782478228192343,8.204178600661821
Gambia,-,2019,14.645429000528289,6.2714106331828825
Malawi,Sub-Saharan Africa,2016,0.13834876206598362,1.5241957770936576
Togo,Sub-Saharan Africa,2017,5.7423917467499255,2.7679225165297594
Romania,Central and Eastern Europe,2019,38.065134321324166,6.871730396730479
Germany,Western Europe,2019,37.829086812855444,3.33063323545088
Laos,Southeastern Asia,2021,5.001598605583962,6.223746264230936
Chad,Sub-Saharan Africa,2021,8.22162496004816,5.8044214772625855
Georgia,Central and Eastern Europe,2015,26.138166314572146,1.1298397691189688
Peru,Latin America and Caribbean,2020,57.78102345354591,6.949347228988049
Iraq,Middle East and Northern Africa,2015,15.873438590362388,0.20977819959267924
Greece,null region,2015,7.836280420385179,5.751033903186179
Finland,null region,2016,36.82087178642885,3.1088149933991915
Portugal,Western Europe,2021,52.60771523905805,8.227317243196904
Portugal,Western Europe,2019,15.756339325549876,5.253612632404694
Montenegro,Central and Eastern Europe,2017,22.1883868124661,4.367210462961042
Croatia,Central and Eastern Europe,2020,41.80475649446584,7.742904022219588
Israel,null region,2015,28.01202492864586,2.8238734640698677
Afghanistan,null region,2017,5.56678277248175,4.92933683783274
Taiwan,Eastern Asia,2016,82.13761340684918,9.347923848132556
Libya,null region,2015,4.597408747240229,1.3779463094128281
Bosnia and Herzegovina,Central and Eastern Europe,2019,17.003607472582544,9.495282024022536
Brazil,Latin America and Caribbean,2020,1.0103417641461248,8.819424654157476
Kuwait,Middle East and Northern Africa,2019,50.35802659429927,12.953385798476273
Brazil,Latin America and Caribbean,2017,45.32829975001866,8.31747655392867
Rwanda,Sub-Saharan Africa,2018,2.8679775417976168,5.575025610427258
Madagascar,Sub-Saharan Africa,2018,8.500899363006559,2.4257607265285213
India,null region,2016,5.6771584190873705,2.598053391826594
Ireland,Western Europe,2020,22.415366566521854,7.450518341812577
Montenegro,Central and Eastern Europe,2019,27.8624988418633,8.391339930073077
Russia,null region,2016,32.188555490842845,4.526002654061127
Uzbekistan,Central and Eastern Europe,2017,25.29104097277811,4.678208478625299
Bahrain,Middle East and Northern Africa,2015,17.117015586739598,11.012387278486583
Peru,Latin America and Caribbean,2017,64.04331329273468,3.841176703664133
Brazil,Latin America and Caribbean,2019,9.583337056658085,2.899969642114016
Kyrgyzstan,Central and Eastern Europe,2020,9.882475071225175,6.2213011011694865
Jamaica,Latin America and Caribbean,2017,25.207318640165244,10.935290705368118
Bosnia and Herzegovina,Central and Eastern Europe,2016,16.402209081243118,5.759691418161462
Czech Republic,Central and Eastern Europe,2016,16.10250509698055,3.1538081033528367
Sierra Leone,Sub-Saharan Africa,2021,8.518779608867225,3.310804519700695
Libya,null region,2020,26.801462118226436,0.8071212378721201
Bahrain,Middle East and Northern Africa,2016,48.67228523712894,5.695390261551923
Brazil,Latin America and Caribbean,2021,22.65548161801356,1.7009320095814244
Congo (Kinshasa),Sub-Saharan Africa,2018,1.5914075722437258,5.687498171655611
Philippines,null region,2016,10.599305156036626,6.281934809266657
Philippines,null region,2015,5.269755263839437,6.933302046638342
Canada,null region,2018,54.42497139012765,4.832361539263477
Turkey,Middle East and Northern Africa,2019,31.785255120052668,8.325649950231785
Belarus,null region,2020,35.49780357801211,2.8735581625011597
Taiwan,Eastern Asia,2019,36.311078805935054,9.2077862108397
Montenegro,Central and Eastern Europe,2016,10.621052360294827,7.673800158182102
Armenia,Central and Eastern Europe,2015,11.065315901897575,3.546944875612435
Dominican Republic,null region,2016,30.28890955312514,4.149257393809189
Armenia,Central and Eastern Europe,2020,27.137510662671804,6.395583830852482
Mozambique,null region,2015,2.4490115646958617,2.46965832414521
France,Western Europe,2020,18.76917891997,8.006377476703253
Serbia,Central and Eastern Europe,2018,20.655521833416046,4.213694349820007
Bosnia and Herzegovina,Central and Eastern Europe,2017,24.154078725120964,0.22933216751079188
India,null region,2019,50.92130503692535,1.0734160785511722
Argentina,Latin America and Caribbean,2017,43.8526626077454,8.528401448568124
Nepal,Southern Asia,2018,2.302804766936719,2.5052499990780754
Paraguay,Latin America and Caribbean,2015,25.979034468595103,5.2045150058347485
Honduras,null region,2016,37.047428323424334,5.939804837513687
Moldova,Central and Eastern Europe,2018,25.47291471321765,4.146748360021628
Togo,Sub-Saharan Africa,2016,8.416973463248315,2.715581311226836
Zimbabwe,Sub-Saharan Africa,2015,6.325605036365015,6.424321346114628
Liberia,null region,2016,3.0218190694007983,2.486751442041612
Italy,null region,2021,62.627557407976425,9.870876360566541
Greece,null region,2016,30.6033063663442,2.3467471142377496
Morocco,Middle East and Northern Africa,2016,9.902243414437377,13.253516297135182
Liberia,null region,2016,1.6271198976734937,4.361652883505294
Singapore,Southeastern Asia,2015,57.712705215951594,4.669406008001175
Bahrain,Middle East and Northern Africa,2016,38.15049622077168,10.275955991406825
Italy,null region,2015,33.95933745119192,8.899084778026456
Mexico,Latin America and Caribbean,2017,29.426521916279174,16.315513763779784
Comoros,null region,2016,3.1792371826698753,2.8548581585676085
Guinea,null region,2020,4.931667417642847,10.762521253294368
Bulgaria,null region,2020,28.09866340962325,2.97735532839681
Somaliland Region,Sub-Saharan Africa,2016,9.487608192337596,3.0805676154725568
Egypt,null region,2019,5.092798018318615,6.530248703495192
Costa Rica,Latin America and Caribbean,2017,16.632794200921133,13.80565260187996
Argentina,Latin America and Caribbean,2018,12.153523653699509,6.934449304421632
Spain,null region,2018,26.86559388906645,12.849182004057731
Russia,null region,2020,22.64667505164466,1.4714699157652171
United Kingdom,Western Europe,2016,69.13379300356952,2.738001309610099
Bosnia and Herzegovina,Central and Eastern Europe,2019,20.29252086935861,4.2029596481662805
Namibia,Sub-Saharan Africa,2018,68.91127369016758,0.27390579890866873
South Africa,Sub-Saharan Africa,2019,34.94073690043284,5.956941238500219
Moldova,Central and Eastern Europe,2020,23.00136649209177,2.137290195276029
Kyrgyzstan,Central and Eastern Europe,2017,17.911792886664152,4.387691316403445
Colombia,Latin America and Caribbean,2016,8.836886773415983,4.136307885231013
Peru,Latin America and Caribbean,2021,63.052052741398754,7.562382236098434
Vietnam,Southeastern Asia,2016,0.19787226387566734,5.818913150894474
Australia,Australia and New Zealand,2016,11.150528431324048,15.072476653196908
Nepal,Southern Asia,2015,12.40005620608558,0.5335079494797231
Sudan,Sub-Saharan Africa,2015,18.82880282388525,5.822023400853983
Niger,Sub-Saharan Africa,2019,4.084332004585946,4.219315366665342
El Salvador,null region,2015,0.46009612709580966,0.976168603679178
Malawi,Sub-Saharan Africa,2017,6.21577913948351,3.1804637162102884
Spain,null region,2017,48.76878855089338,9.514873384308759
Uganda,null region,2020,1.6213723446122688,0.16230617848854245
Haiti,Latin America and Caribbean,2019,5.082016637213436,0.8372340662383039
Cameroon,null region,2019,14.768075401732897,7.366537160631526
Slovenia,Central and Eastern Europe,2016,54.16857829258662,7.764267658558603
Central African Republic,Sub-Saharan Africa,2020,0.9084399666344434,0.5225183303302916
Guinea,null region,2019,17.83743576904463,4.746150057969749
Comoros,null region,2019,4.690920267091447,9.989347994049735
Zambia,Sub-Saharan Africa,2016,5.065860695401036,6.293598126818145
Iraq,Middle East and Northern Africa,2020,29.451838315209255,4.807283397704871
Germany,Western Europe,2021,15.360031973685995,10.79524023987377
Panama,Latin America and Caribbean,2017,60.088879906654874,2.400833770054287
United States,North America,2015,15.565289650393044,5.4113236721200195
Greece,null region,2019,30.501512260871866,3.977588479091672
El Salvador,null region,2017,2.8458229446764483,9.557710091191868
Armenia,Central and Eastern Europe,2020,13.47507328436586,0.43489621701925374
Afghanistan,null region,2021,12.083032691634688,1.7751202762069505
Bosnia and Herzegovina,Central and Eastern Europe,2020,11.445637990732159,3.0947511814689617
Belarus,null region,2021,43.46643861162471,0.1812383750827517
United Kingdom,Western Europe,2016,47.12168078994521,12.966005000513515
Thailand,Southeastern Asia,2019,56.051411340845185,3.1967302037609264
Greece,null region,2016,53.793504154351595,9.267652761871389
Uzbekistan,Central and Eastern Europe,2021,23.023928120883372,7.67491946477409
Mauritania,Sub-Saharan Africa,2017,7.71826732926643,4.5624984721193504
Lithuania,null region,2020,6.708160914640081,6.043632747415961
United Kingdom,Western Europe,2019,16.354679901187556,4.164922935164307
Dominican Republic,null region,2021,3.2916170704276233,2.595580086852596
Togo,Sub-Saharan Africa,2019,13.519038330524069,4.961901636356104
Gabon,Sub-Saharan Africa,2019,47.51426426280481,4.328933933250615
Cameroon,null region,2015,12.681626242496662,5.5607210284168715
Spain,null region,2015,14.457582064915892,9.177839225072907
Guatemala,Latin America and Caribbean,2021,22.26865475807423,3.2525568482593625
Burkina Faso,Sub-Saharan Africa,2019,9.509111428674792,7.9931873743696835
Argentina,Latin America and Caribbean,2017,14.66119365114408,6.323562609224328
Namibia,Sub-Saharan Africa,2016,37.748158243890266,0.06289912102329441
Malaysia,Southeastern Asia,2020,41.32442971632533,7.003535656088711
Senegal,Sub-Saharan Africa,2016,25.771589065103164,6.3204756558555495
Togo,Sub-Saharan Africa,2017,9.683952451248055,2.871764848344378
Palestinian Territories,null region,2015,25.36407013201817,3.135935330527732
Ethiopia,null region,2017,11.329751758234947,12.67854358225408
Iran,Middle East and Northern Africa,2016,34.033515746661266,3.153273419895909
Switzerland,Western Europe,2021,65.5312212491496,8.390142168173936
Costa Rica,Latin America and Caribbean,2020,29.421537005292056,3.9774499434439132
Japan,Eastern Asia,2020,32.2664431574677,8.152455432640375
Jordan,null region,2017,16.109733534858076,1.736193008165131
Russia,null region,2021,50.62891376678535,12.217017098124883
Estonia,null region,2019,59.21536996753832,3.0820997355219872
Thailand,Southeastern Asia,2018,8.558779682945294,1.057869409499657
Ethiopia,null region,2018,11.829373396657427,2.5628326732928097
Slovakia,null region,2017,16.822958984618463,6.490717087188191
Ethiopia,null region,2016,3.5469429342642593,2.476873801356799
Israel,null region,2021,38.82804089510621,10.77217575383787
Hungary,Central and Eastern Europe,2021,71.39856512637786,3.5487489109305046
Sweden,Western Europe,2021,38.97717580144165,25.716537519837704
Belarus,null region,2016,42.61119325983715,9.51492293512396
Sweden,Western Europe,2019,18.946521692339065,9.162451503591656
Senegal,Sub-Saharan Africa,2015,4.714079771066079,2.010876297522919
Liberia,null region,2019,1.5874205387608922,8.016153365514366
Panama,Latin America and Caribbean,2016,16.791295457836494,3.7606556211166664
Zimbabwe,Sub-Saharan Africa,2019,14.145694594257003,2.5384195029106964
Costa Rica,Latin America and Caribbean,2015,12.873489421119402,9.773462695656471
Kazakhstan,Central and Eastern Europe,2021,24.014649210070786,1.6148647112209968
Austria,null region,2018,7.148398873340264,5.715447708616021
Jamaica,Latin America and Caribbean,2017,3.26341758880765,2.2222112166089
Congo (Brazzaville),null region,2018,12.437403620644853,3.662229203808273
Saudi Arabia,null region,2015,42.125622358487796,7.417904177829592
Congo (Kinshasa),Sub-Saharan Africa,2018,1.9681005234113187,2.7649246379605392
Lithuania,null region,2020,26.94040424997713,6.494019532858818
South Korea,Eastern Asia,2016,49.71395979087241,8.52672769561726
Rwanda,Sub-Saharan Africa,2016,4.6257668951154045,5.097149692379198
Romania,Central and Eastern Europe,2019,40.11228911442525,7.817231793740378
Peru,Latin America and Caribbean,2019,16.828972463109253,6.440618459521845
Denmark,Western Europe,2019,13.273568711851064,9.388211732672964
Finland,null region,2017,2.170461576203337,1.6377040688191455
Gambia,-,2020,6.27820396375677,6.302994283702654
Armenia,Central and Eastern Europe,2017,22.046534712303185,1.424035552752162
Honduras,null region,2020,2.993007745973218,8.987063982647667
Trinidad and Tobago,null region,2020,23.956611726496096,4.778112192678587
Swaziland,Sub-Saharan Africa,2021,13.927711781015056,7.050238730994006
Latvia,Central and Eastern Europe,2020,15.134385213852898,3.4889497494185293
Armenia,Central and Eastern Europe,2016,23.070749788561812,1.0985362017691924
Macedonia,Central and Eastern Europe,2017,42.33526028931168,9.09931861541001
Pakistan,Southern Asia,2019,14.444868084867307,1.4431350255839475
Pakistan,Southern Asia,2017,17.3945772969896,4.514194086998906
Burundi,Sub-Saharan Africa,2015,0.21091624318609098,1.898638894882957
Slovakia,null region,2020,10.53696038727707,4.389578159269324
Senegal,Sub-Saharan Africa,2018,0.9835223957275175,6.343508270743787
Belarus,null region,2020,38.21829946919966,7.306436119854248
Belgium,Western Europe,2015,32.886285445537084,5.859655763745536
Mali,Sub-Saharan Africa,2021,9.815038471570512,0.5460596480662647
Vietnam,Southeastern Asia,2016,12.709894670161605,0.8257973767155551
Ireland,Western Europe,2021,40.85351326834839,8.199658924550493
Luxembourg,Western Europe,2019,122.50233621078901,10.16291694984219
Ethiopia,null region,2015,7.430998647765653,4.985668348776467
Belarus,null region,2018,31.380994696847203,7.509578183406247
Japan,Eastern Asia,2020,49.08833053640704,4.747595635808279
Slovakia,null region,2020,32.87892907998609,2.1884722955936513
Colombia,Latin America and Caribbean,2020,11.260675355882942,15.36693025815359
Libya,null region,2019,27.431670016763206,7.113837618736802
Canada,null region,2015,60.43865369693925,4.744714008590002
Belgium,Western Europe,2017,30.245536027588596,5.673859979098211
Iran,Middle East and Northern Africa,2019,37.93472929811455,4.826977806420296
Egypt,null region,2018,36.81443761968379,6.782428988308798
Mexico,Latin America and Caribbean,2019,40.69769959318405,8.526817969793436
Italy,null region,2018,40.58721528000901,8.589391314719045
Saudi Arabia,null region,2015,68.64779566109878,1.0632223237141274
Burkina Faso,Sub-Saharan Africa,2020,9.376078910090067,7.0228849621193765
Belize,Latin America and Caribbean,2017,17.104010567326227,3.2661792439520223
Serbia,Central and Eastern Europe,2021,49.409988909702285,7.086655131357495
Bhutan,Southern Asia,2015,14.523275180066351,9.49125803092124
Bhutan,Southern Asia,2017,39.24418633744463,4.658164261613278
Estonia,null region,2019,46.60445781620207,4.253566222824461
Saudi Arabia,null region,2018,52.11763056827416,0.8698775370233275
Croatia,Central and Eastern Europe,2017,14.541394586996303,6.703364694953561
Trinidad and Tobago,null region,2017,27.873110104791152,7.581905093583144
France,Western Europe,2020,30.85835981200643,5.36896572100516
Lesotho,Sub-Saharan Africa,2019,21.149916002953667,5.09649710183525
Macedonia,Central and Eastern Europe,2017,2.2955270614013843,3.1568549769577805
France,Western Europe,2019,47.96074699850759,8.234175552125407
Cyprus,Western Europe,2015,50.30146758491132,5.420734505265056
Haiti,Latin America and Caribbean,2017,4.725386935069791,1.7343852105745616
Mali,Sub-Saharan Africa,2016,14.838336691050838,1.3990637219774744
Comoros,null region,2015,12.155035664129224,3.310350113275731
Congo (Brazzaville),null region,2017,24.37518842251788,2.6659894784377602
Kazakhstan,Central and Eastern Europe,2017,65.939919031012,5.9058021823862825
Somalia,Sub-Saharan Africa,2019,0.0,0.44461761416238454
Hong Kong S.A.R. of China,East Asia,2020,74.02187063895346,3.3862270440192277
Honduras,null region,2016,19.860900026186886,4.738600003181417
Malta,null region,2017,21.389571545292046,0.9912636682146941
Greece,null region,2019,23.223547604204427,3.130922691147364
United Kingdom,Western Europe,2018,14.112891581670489,1.782318193939235
Honduras,null region,2020,12.087206494689347,13.355979654104301
Cameroon,null region,2021,32.83636186398802,7.9616869794329395
Ukraine,Central and Eastern Europe,2019,22.47173141281474,0.18366647625285576
Armenia,Central and Eastern Europe,2018,39.73857808459054,2.7217337821155114
North Cyprus,null region,2016,17.840863684557267,5.509444304920478
Egypt,null region,2015,5.0795174577737034,1.8891768676267957
Ivory Coast,Sub-Saharan Africa,2015,14.810380386689069,1.1403565982957893
Panama,Latin America and Caribbean,2020,42.088577673441534,10.990640801866855
Jamaica,Latin America and Caribbean,2015,2.33569186072352,7.493406835998588
Montenegro,Central and Eastern Europe,2020,27.90888011613178,7.036894734950231
Singapore,Southeastern Asia,2019,62.97283554037687,0.9021433514114263
Belgium,Western Europe,2020,21.504201826846035,3.8441185913659224
Cambodia,Southeastern Asia,2017,31.39417923337559,4.388898830616246
Philippines,null region,2020,6.967268078956744,6.924439606933307
Belarus,null region,2019,42.22908230295836,5.875387759358549
Tajikistan,null region,2020,22.20901764361094,2.8123991100959276
Saudi Arabia,null region,2021,25.849620070061487,1.0797610469582857
Italy,null region,2017,81.37589053457121,14.095304174020546
Italy,null region,2020,4.346894243865518,5.151818496695802
Guatemala,Latin America and Caribbean,2016,22.413885741933694,15.198164748477513
Slovenia,Central and Eastern Europe,2017,37.22220993815169,15.587835153192298
Italy,null region,2020,71.19963421267823,5.040385750590056
Singapore,Southeastern Asia,2018,25.827367361811632,10.907680548929735
Indonesia,Southeastern Asia,2018,8.547819538510367,5.325529559042072
Sweden,Western Europe,2021,13.288860391685098,2.585409995898239
Togo,Sub-Saharan Africa,2018,14.239939735617371,0.9984481084635902
Central African Republic,Sub-Saharan Africa,2020,0.6539387420633511,5.137056682349098
Kenya,null region,2015,12.032859666920714,4.619753125690946
Austria,null region,2021,76.98902051543206,0.4257694308369308
Ukraine,Central and Eastern Europe,2016,35.752308957773224,6.103074045551635
Malawi,Sub-Saharan Africa,2021,2.1238983010365327,2.578707708159254
Cambodia,Southeastern Asia,2016,16.445393591464217,2.4531736441044494
Tanzania,Sub-Saharan Africa,2019,11.916327992070293,2.9260155201323688
Madagascar,Sub-Saharan Africa,2021,0.04206924316043748,3.4764803097551704
Zambia,Sub-Saharan Africa,2021,14.197122329031336,5.430290037252766
Malaysia,Southeastern Asia,2021,28.08910188660998,5.108217815001025
Morocco,Middle East and Northern Africa,2015,27.248958838735064,3.539272475999078
Botswana,null region,2016,48.15284814903823,1.6546669833538203
Malta,null region,2021,15.964960727844034,11.663096491773812
Nigeria,null region,2020,10.642521038754227,6.304637276589634
Romania,Central and Eastern Europe,2020,43.62264381363044,6.033352183244892
Spain,null region,2021,26.099021827547382,7.807704906955948
Azerbaijan,Central and Eastern Europe,2018,24.866554949044545,8.91299666878962
Ethiopia,null region,2021,2.0101028351428196,4.479029098751853
Jamaica,Latin America and Caribbean,2020,4.754826242371671,4.630176059623432
Greece,null region,2018,26.814129259636093,0.7836017353656882
Czech Republic,Central and Eastern Europe,2019,73.84199249821316,1.6255565735663133
Swaziland,Sub-Saharan Africa,2019,8.342103910825504,5.6323543599885815
Lithuania,null region,2017,30.290844549756205,8.992495003904912
Ukraine,Central and Eastern Europe,2021,25.595647541309596,4.6119972906948234
Sweden,Western Europe,2018,57.614726858097654,9.17101397307605
Bangladesh,null region,2016,38.547262118583234,8.499745230145292
